Country,Continent
Abkhazia,Asia
Afghanistan,Asia
Akrotiri and Dhekelia,Europe
Albania,Europe
Algeria,Africa
American Samoa,Oceania
Andorra,Europe
Angola,Africa
Anguilla,Americas
Antigua and Barbuda,Americas
Argentina,Americas
Armenia,Asia
Aruba,Americas
Australia,Oceania
Austria,Europe
Azerbaijan,Asia
Bahamas,Americas
Bahrain,Asia
Bangladesh,Asia
Barbados,Americas
Belarus,Europe
Belgium,Europe
Belize,Americas
Benin,Africa
Bermuda,Americas
Bhutan,Asia
Bolivia,Americas
Bosnia and Herzegovina,Europe
Botswana,Africa
Brazil,Americas
British Virgin Islands,Americas
Brunei,Asia
Bulgaria,Europe
Burkina Faso,Africa
Burundi,Africa
Cambodia,Asia
Cameroon,Africa
Canada,Americas
Cape Verde,Africa
Cayman Islands,Americas
Central African Republic,Africa
Chad,Africa
Channel Islands,Europe
Chile,Americas
China,Asia
Christmas Island,
Cocos Island,Asia
Colombia,Americas
Comoros,Africa
"Congo, Dem. Rep.",Africa
"Congo, Rep.",Africa
Cook Is,
Costa Rica,Americas
Cote d'Ivoire,Africa
Croatia,Europe
Cuba,Americas
Cyprus,Asia
Czech Republic,Europe
Czechoslovakia,Europe
Denmark,Europe
Djibouti,Africa
Dominica,Americas
Dominican Republic,Americas
East Germany,Europe
Ecuador,Americas
Egypt,Africa
El Salvador,Americas
Equatorial Guinea,Africa
Eritrea,Africa
Eritrea and Ethiopia,Africa
Estonia,Europe
Ethiopia,Africa
Faeroe Islands,Europe
Falkland Is (Malvinas),Americas
Fiji,Oceania
Finland,Europe
France,Europe
French Guiana,Americas
French Polynesia,Oceania
Gabon,Africa
Gambia,Africa
Georgia,Asia
Germany,Europe
Ghana,Africa
Gibraltar,Europe
Greece,Europe
Greenland,Americas
Grenada,Americas
Guadeloupe,Americas
Guam,Oceania
Guatemala,Americas
Guernsey,Europe
Guinea,Africa
Guinea-Bissau,Africa
Guyana,Americas
Haiti,Americas
Holy See,Europe
Honduras,Americas
"Hong Kong, China",Asia
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Ireland,Europe
Isle of Man,Europe
Israel,Asia
Italy,Europe
Jamaica,Americas
Japan,Asia
Jersey,Europe
Jordan,Asia
Kazakhstan,Asia
Kenya,Africa
Kiribati,Oceania
North Korea,Asia
South Korea,Asia
"United Korea (former)
",Asia
Kosovo,Europe
Kuwait,Asia
Kyrgyz Republic,Asia
Lao,Asia
Latvia,Europe
Lebanon,Asia
Lesotho,Africa
Liberia,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
"Macao, China",Asia
"Macedonia, FYR",Europe
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Marshall Islands,Oceania
Martinique,Americas
Mauritania,Africa
Mauritius,Africa
Mayotte,Africa
Mexico,Americas
"Micronesia, Fed. Sts.",Oceania
Moldova,Europe
Monaco,Europe
Mongolia,Asia
Montenegro,Europe
Montserrat,Americas
Morocco,Africa
Mozambique,Africa
Myanmar,Asia
Namibia,Africa
Nauru,Oceania
Nepal,Asia
Netherlands,Europe
Netherlands Antilles,Europe
New Caledonia,Oceania
New Zealand,Oceania
Ngorno-Karabakh,
Nicaragua,Americas
Niger,Africa
Nigeria,Africa
Niue,Oceania
Norfolk Island,Oceania
Northern Cyprus,Europe
Northern Mariana Islands,Oceania
Norway,Europe
Oman,Asia
Pakistan,Asia
Palau,Oceania
Panama,Americas
Papua New Guinea,Oceania
Paraguay,Americas
Peru,Americas
Philippines,Asia
Pitcairn,Oceania
Poland,Europe
Portugal,Europe
Puerto Rico,Americas
Qatar,Asia
Reunion,
Romania,Europe
Russia,Europe
Rwanda,Africa
St. Barthélemy,Americas
St. Helena,Africa
St. Kitts and Nevis,Americas
St. Lucia,Americas
St. Martin,Americas
St. Vincent and the Grenadines,Americas
St.-Pierre-et-Miquelon,Americas
Samoa,Oceania
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Senegal,Africa
Serbia,Europe
Serbia and Montenegro,Europe
Serbia excluding Kosovo,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Slovak Republic,Europe
Slovenia,Europe
Solomon Islands,Oceania
Somalia,Africa
Somaliland,Africa
South Africa,Africa
South Ossetia,
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Suriname,Americas
Svalbard,Europe
Swaziland,Africa
Sweden,Europe
Switzerland,Europe
Syria,Asia
Taiwan,Asia
Tajikistan,Asia
Tanzania,Africa
Thailand,Asia
Timor-Leste,Asia
Togo,Africa
Tokelau,Oceania
Tonga,Oceania
Transnistria,
Trinidad and Tobago,Americas
Tunisia,Africa
Turkey,Asia
Turkmenistan,Asia
Turks and Caicos Islands,Americas
Tuvalu,Oceania
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Asia
United Kingdom,Europe
United States,Americas
Uruguay,Americas
USSR,Asia
Uzbekistan,Asia
Wallis et Futuna,Oceania
Vanuatu,Oceania
Venezuela,Americas
West Bank and Gaza,Asia
West Germany,Europe
Western Sahara,Africa
Vietnam,Asia
Virgin Islands (U.S.),Americas
North Yemen (former),Asia
South Yemen (former),Asia
Yemen,Asia
Yugoslavia,Europe
Zambia,Africa
Zimbabwe,Africa
Åland,
South Sudan,Africa
